design,formula,lambda_nm,Re_eps_eff,Im_eps_eff,R,T,A
original,MLWA15,750,5.157578,0.140959,0.053712,0.274458,0.671830
original,Lerer,400,3.194734,0.830971,0.002150,0.000000,0.997850
original,Lerer,410,3.188861,0.839821,0.002019,0.000000,0.997981
original,Lerer,420,3.178451,0.844531,0.002112,0.000000,0.997887
original,Lerer,430,3.162393,0.848297,0.001940,0.000001,0.998059
original,Lerer,440,3.133468,0.856700,0.001687,0.000001,0.998312
original,Lerer,450,3.082338,0.877743,0.001504,0.000001,0.998495
original,Lerer,460,3.015833,0.903503,0.001483,0.000000,0.998516
original,Lerer,470,2.932894,0.940527,0.001673,0.000000,0.998327
original,Lerer,480,2.829020,0.997308,0.002076,0.000000,0.997924
original,Lerer,490,2.672835,1.111323,0.002752,0.000000,0.997248
original,Lerer,500,2.498152,1.295236,0.003766,0.000000,0.996234
original,Lerer,510,2.323620,1.665444,0.005712,0.000000,0.994288
original,Lerer,520,2.187741,2.294714,0.009340,0.000000,0.990660
original,Lerer,530,2.568526,3.353490,0.012883,0.000000,0.987117
original,Lerer,540,4.059276,4.337618,0.011413,0.000000,0.988587
original,Lerer,550,5.546516,3.826406,0.007835,0.000000,0.992165
original,Lerer,560,6.294639,2.678775,0.006354,0.000000,0.993646
original,Lerer,570,6.399688,2.117992,0.007601,0.000000,0.992399
original,Lerer,580,6.428360,1.885405,0.009714,0.000000,0.990286
original,Lerer,590,6.432685,1.657641,0.012291,0.000000,0.987709
original,Lerer,600,6.416537,1.451402,0.015182,0.000003,0.984815
original,Lerer,610,6.382011,1.262069,0.018228,0.000017,0.981755
original,Lerer,620,6.326270,1.090345,0.021268,0.000079,0.978653
original,Lerer,630,6.267888,0.936166,0.024161,0.000302,0.975536
original,Lerer,640,6.202291,0.798254,0.026724,0.000992,0.972284
original,Lerer,650,6.128547,0.673525,0.029413,0.002871,0.967717
original,Lerer,660,5.719076,0.445923,0.029101,0.017363,0.953536
original,Lerer,670,5.350729,0.295356,0.025856,0.060174,0.913970
original,Lerer,680,5.091550,0.207227,0.035579,0.132339,0.832082
original,Lerer,690,4.904778,0.154337,0.015609,0.218777,0.765614
original,Lerer,700,4.789307,0.126868,0.027256,0.264882,0.707862
original,Lerer,710,4.693774,0.106052,0.046332,0.348804,0.604863
original,Lerer,720,4.614125,0.090017,0.031670,0.375546,0.592784
original,Lerer,730,4.546826,0.077402,0.004721,0.471409,0.523870
original,Lerer,740,4.497764,0.069234,0.045582,0.463073,0.491346
original,Lerer,750,4.454220,0.062310,0.063544,0.532024,0.404432
improved,MG,400,3.336663,0.874587,0.013307,0.000000,0.986693
improved,MG,410,3.328900,0.882620,0.010933,0.000000,0.989067
improved,MG,420,3.317252,0.885483,0.008852,0.000000,0.991148
improved,MG,430,3.300007,0.886273,0.007016,0.000000,0.992984
improved,MG,440,3.268788,0.889322,0.005309,0.000000,0.994691
improved,MG,450,3.212887,0.900809,0.003656,0.000000,0.996344
improved,MG,460,3.141378,0.913672,0.002205,0.000000,0.997795
improved,MG,470,3.052624,0.933814,0.001072,0.000000,0.998928
