lower_fill,lower_t_nm,spacer_nm,lambda_nm,A_layers
0.20,1500,150,450,0.996344
0.20,1500,150,460,0.997795
0.20,1500,150,470,0.998928
0.20,1500,150,480,0.999654
0.20,1500,150,490,0.999971
0.20,1500,150,500,0.999912
0.20,1500,150,510,0.999448
0.20,1500,150,520,0.998194
0.20,1500,150,530,0.995577
0.20,1500,150,540,0.992512
0.20,1500,150,550,0.993338
0.20,1500,150,560,0.994845
0.20,1500,150,570,0.995643
0.20,1500,150,580,0.996291
0.20,1500,150,590,0.996980
0.20,1500,150,600,0.997726
0.20,1500,150,610,0.998488
0.20,1500,150,620,0.999134
0.20,1500,150,630,0.999453
0.20,1500,150,640,0.999515
0.20,1500,150,650,0.999661
0.20,1500,150,660,0.994979
0.20,1500,150,670,0.979587
0.20,1500,150,680,0.982710
0.20,1500,150,690,0.992682
0.20,1500,150,700,0.996081
0.20,1500,150,710,0.997211
0.20,1500,150,720,0.946867
0.20,1500,150,730,0.993020
0.20,1500,150,740,0.857321
0.20,1500,150,750,0.875204
0.20,2000,0,400,0.986693
0.20,2000,0,410,0.989067
0.20,2000,0,420,0.991148
0.20,2000,0,430,0.992984
0.20,2000,0,440,0.994691
0.20,2000,0,450,0.996344
0.20,2000,0,460,0.997795
0.20,2000,0,470,0.998928
0.20,2000,0,480,0.999654
0.20,2000,0,490,0.999971
0.20,2000,0,500,0.999912
0.20,2000,0,510,0.999448
0.20,2000,0,520,0.998194
0.20,2000,0,530,0.995577
0.20,2000,0,540,0.992512
0.20,2000,0,550,0.993338
0.20,2000,0,560,0.994845
0.20,2000,0,570,0.995643
0.20,2000,0,580,0.996291
0.20,2000,0,590,0.996980
0.20,2000,0,600,0.997726
0.20,2000,0,610,0.998488
0.20,2000,0,620,0.999134
0.20,2000,0,630,0.999453
0.20,2000,0,640,0.999515
0.20,2000,0,650,0.999661
0.20,2000,0,660,0.994979
0.20,2000,0,670,0.979588
0.20,2000,0,680,0.982867
0.20,2000,0,690,0.994403
0.20,2000,0,700,0.997398
0.20,2000,0,710,0.990769
0.20,2000,0,720,0.989906
0.20,2000,0,730,0.931922
0.20,2000,0,740,0.981934
0.20,2000,0,750,0.856376
0.20,2000,25,400,0.986693
0.20,2000,25,410,0.989067
0.20,2000,25,420,0.991148
0.20,2000,25,430,0.992984
0.20,2000,25,440,0.994691
0.20,2000,25,450,0.996344
0.20,2000,25,460,0.997795
0.20,2000,25,470,0.998928
0.20,2000,25,480,0.999654
0.20,2000,25,490,0.999971
0.20,2000,25,500,0.999912
0.20,2000,25,510,0.999448
0.20,2000,25,520,0.998194
0.20,2000,25,530,0.995577
0.20,2000,25,540,0.992512
0.20,2000,25,550,0.993338
0.20,2000,25,560,0.994845
0.20,2000,25,570,0.995643
0.20,2000,25,580,0.996291
0.20,2000,25,590,0.996980
0.20,2000,25,600,0.997726
0.20,2000,25,610,0.998488
0.20,2000,25,620,0.999134
0.20,2000,25,630,0.999453
0.20,2000,25,640,0.999515
0.20,2000,25,650,0.999661
0.20,2000,25,660,0.994979
0.20,2000,25,670,0.979588
0.20,2000,25,680,0.982842
0.20,2000,25,690,0.994757
0.20,2000,25,700,0.998233
0.20,2000,25,710,0.994360
0.20,2000,25,720,0.986364
0.20,2000,25,730,0.933086
0.20,2000,25,740,0.979396
0.20,2000,25,750,0.881656
0.20,2000,50,400,0.986693
0.20,2000,50,410,0.989067
0.20,2000,50,420,0.991148
0.20,2000,50,430,0.992984
0.20,2000,50,440,0.994691
0.20,2000,50,450,0.996344
0.20,2000,50,460,0.997795
0.20,2000,50,470,0.998928
0.20,2000,50,480,0.999654
0.20,2000,50,490,0.999971
0.20,2000,50,500,0.999912
0.20,2000,50,510,0.999448
0.20,2000,50,520,0.998194
0.20,2000,50,530,0.995577
0.20,2000,50,540,0.992512
0.20,2000,50,550,0.993338
0.20,2000,50,560,0.994845
0.20,2000,50,570,0.995643
0.20,2000,50,580,0.996291
0.20,2000,50,590,0.996980
