material,N,target_deg,scenario,phase_scale,mean_loss_db,peak_angle_deg,pointing_error_deg,beamwidth_3db_deg,sll_db,eta_tx,eta_peak,eta_target,eta_coherent,main_lobe_fraction,status
Sb2S3,32,-10.0,eim_prediction,2.695111708382328,0.6711171779385992,-10.0,0.0,3.219999999999999,-13.256604631693046,0.8570850655406892,0.8569511578313782,0.8569511578313782,0.9998437638051405,0.8951556794149831,EIM buffer slice below cutoff
Sb2S3,32,-10.0,planar_calibrated,2.695111708382328,1.5939759045775934,-10.0,0.0,3.230000000000004,-13.305692367056995,0.6949508859191311,0.6938687890148187,0.6938687890148187,0.9984429160013499,0.8976245416270976,EIM buffer slice below cutoff
Sb2S3,32,-10.0,planar_response_to_eim_design,2.695111708382328,4.295943123306385,-31.089999999999996,-21.089999999999996,3.700000000000003,0.0,0.3804067216814111,0.282389780460886,0.0038934366240060162,0.742336463490217,0.017825363820410625,EIM buffer slice below cutoff
Sb2Se3,32,-10.0,eim_prediction,1.6521309314586994,0.2004409182455927,-10.0,0.0,3.210000000000008,-13.24678925726526,0.9549970085165964,0.9549463046897938,0.9549463046897938,0.9999469068213299,0.8945067626554385,ok
Sb2Se3,32,-10.0,planar_calibrated,1.6521309314586994,0.637529500015913,-10.0,0.0,3.230000000000004,-13.2831863712108,0.8647198048423117,0.8640938442668327,0.8640938442668327,0.9992761116699609,0.8966602666278888,ok
Sb2Se3,32,-10.0,planar_response_to_eim_design,1.6521309314586994,1.0532822066936893,-20.0,-10.0,3.3200000000000074,0.0,0.7877507412250977,0.5414439175683592,0.16467727753552663,0.687328985214681,0.18557165560913882,ok
GSST,32,-5.0,eim_prediction,0.9794910748195975,6.0177743995049635,-5.0,0.0,2.799999999999997,-6.832439490017065,0.3735217577499691,0.3133814694891206,0.3133814694891206,0.838991204627213,0.6512310402773857,ok
GSST,32,-5.0,planar_calibrated,0.9794910748195975,3.7394855165562735,-5.0,0.0,2.930000000000007,-8.865120036934792,0.48743967827862406,0.4559228459247178,0.4559228459247178,0.935342086911745,0.7626309260619815,ok
GSST,32,-5.0,planar_response_to_eim_design,0.9794910748195975,3.6627926878840222,-4.989999999999995,0.010000000000005116,2.9299999999999926,-8.844921408488402,0.4934386054190374,0.4621385984514945,0.46212689630942644,0.9365675757352583,0.7648191822974182,ok
Sb2S3,32,-5.0,eim_prediction,2.695111708382328,0.7005033509842282,-5.0,0.0,3.1899999999999977,-13.502352537771234,0.8513134513846716,0.851176159911049,0.851176159911049,0.9998387298199044,0.8965202689915467,EIM buffer slice below cutoff
Sb2S3,32,-5.0,planar_calibrated,2.695111708382328,1.686651839581318,-5.0,0.0,3.219999999999999,-14.112272277761498,0.6803559244447048,0.6792531321234423,0.6792531321234423,0.998379094997721,0.9044567923702906,EIM buffer slice below cutoff
Sb2S3,32,-5.0,planar_response_to_eim_design,2.695111708382328,4.545715120820203,-14.920000000000002,-9.920000000000002,3.440000000000012,0.0,0.3595615287126356,0.2600779719115762,0.017775001583029075,0.7233197968724641,0.06021174204262269,EIM buffer slice below cutoff
Sb2Se3,32,-5.0,eim_prediction,1.6521309314586994,0.2175764719913243,-5.0,0.0,3.180000000000007,-13.389040901335637,0.9512393896899645,0.9511873444839742,0.9511873444839742,0.9999452869524177,0.8948565270003113,ok
Sb2Se3,32,-5.0,planar_calibrated,1.6521309314586994,0.700742695603384,-5.0,0.0,3.200000000000003,-13.823171203540795,0.8522665655067457,0.8516268405464538,0.8516268405464538,0.9992493839531161,0.9009021000742942,ok
